,name,cover,source,url,favorited,artist
35,Meiko Nakahara Fantasy Rice Bear Remix,https://i1.sndcdn.com/artworks-000548427915-266eai-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/meiko-nakahara-fantasy-rice-bear-remix.mp3?raw=true,https://soundcloud.com/user-723244371-449905829/meiko-nakahara-fantasy-rice-bear-remix,false,User 723244371 449905829
36,Kiss In The City,https://i1.sndcdn.com/artworks-XGe3flEyYO9YcVzF-Gtc9kQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/kiss-in-the-city.mp3?raw=true,https://soundcloud.com/taj-pierre/kiss-in-the-city,false,Taj Pierre
37,Find Me In The Cut,https://i1.sndcdn.com/artworks-000289083164-b2w7vi-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/find-me-in-the-cut.mp3?raw=true,https://soundcloud.com/1ony/find-me-in-the-cut,false,1Ony
38,Coco,https://i1.sndcdn.com/artworks-nGurOICHqKYgIuVS-qJJnHw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/coco.mp3?raw=true,https://soundcloud.com/pewdie/coco,false,Pewdie
39,1234Five,https://i1.sndcdn.com/artworks-000433322733-b8eonc-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/1234five.mp3?raw=true,https://soundcloud.com/tsunderetwintails/1234five,false,Tsunderetwintails
40,D Real X Lavera Fantasy Ii,https://i1.sndcdn.com/artworks-Fr3rFU6HG4KsbCL5-Mgn0tA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/d-real-x-lavera-fantasy-ii.mp3?raw=true,https://soundcloud.com/4theconcept/d-real-x-lavera-fantasy-ii,false,4Theconcept
41,Approaching Light Little Busters Ost,https://i1.sndcdn.com/artworks-000038128379-bkzp79-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/approaching-light-little-busters-ost.mp3?raw=true,https://soundcloud.com/lockndots/approaching-light-little-busters-ost,false,Lockndots
42,Conro Circus Feat Beckii Power,https://i1.sndcdn.com/artworks-000237557599-b1fjyb-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/conro-circus-feat-beckii-power.mp3?raw=true,https://soundcloud.com/conromusic/conro-circus-feat-beckii-power,false,Conromusic
43,Gooba 6Ix9Ine,https://i1.sndcdn.com/artworks-5XZOPzuRR4arOyLJ-iPlbHw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/gooba-6ix9ine.mp3?raw=true,https://soundcloud.com/scumgang6ix9ine/gooba-6ix9ine,false,Scumgang6Ix9Ine
44,Seishun Buta Yarou Wa Bunny Girl Senpai No Yume Wo Minai Ending Fukashigi No Cartefull,https://i1.sndcdn.com/artworks-000606986371-ebh2wq-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai-ending-fukashigi-no-cartefull.mp3?raw=true,https://soundcloud.com/okfw/seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai-ending-fukashigi-no-cartefull,false,Okfw
45,Tofuku Taipein3Kos Remix,https://i1.sndcdn.com/artworks-000183241461-9u64di-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/tofuku-taipein3kos-remix.mp3?raw=true,https://soundcloud.com/korewa_n3ko/tofuku-taipein3kos-remix,false,Korewa_N3Ko
46,Rocket 22,https://i1.sndcdn.com/artworks-000192938187-4avyxw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/rocket-22.mp3?raw=true,https://soundcloud.com/verzache/rocket-22,false,Verzache
47,Whole Lotta Ass,https://i1.sndcdn.com/artworks-4xaoJbComxpsN6e5-V00JBA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/whole-lotta-ass.mp3?raw=true,https://soundcloud.com/kurosai/whole-lotta-ass,false,Kurosai
48,Dreamn Stratocaster,https://i1.sndcdn.com/artworks-yqyI1DUesCqLnJ2b-y663Vw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/dreamn-stratocaster.mp3?raw=true,https://soundcloud.com/pomodorosa/dreamn-stratocaster,false,Pomodorosa
49,Ghibli House,https://i1.sndcdn.com/artworks-000164845596-4rh4xj-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/ghibli-house.mp3?raw=true,https://soundcloud.com/bluesatellite/ghibli-house,false,Bluesatellite
50,Himajanai,https://i1.sndcdn.com/artworks-b7yTQubMJWBI911x-3cNdaA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/himajanai.mp3?raw=true,https://soundcloud.com/ceuren/himajanai,false,Ceuren
51,Vs Dj Subatomic Supernova,https://i1.sndcdn.com/artworks-yNx6i1bzf1fZ2lS8-NCyLrQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/vs-dj-subatomic-supernova.mp3?raw=true,https://soundcloud.com/fraisee-boi/vs-dj-subatomic-supernova,false,Fraisee Boi
52,Nightcola 1,https://i1.sndcdn.com/artworks-000393304317-n3go4w-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/nightcola-1.mp3?raw=true,https://soundcloud.com/namedzak/nightcola-1,false,Namedzak
53,Cafe Midnight,https://i1.sndcdn.com/artworks-p4uzqojN532zAYtB-VLLEWA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/cafe-midnight.mp3?raw=true,https://soundcloud.com/leiwaan/cafe-midnight,false,Leiwaan
54,Candy Spaceship,https://i1.sndcdn.com/artworks-000475127199-4ib8ae-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/candy-spaceship.mp3?raw=true,https://soundcloud.com/ujico/candy-spaceship,false,Ujico
