,name,cover,source,url,favorited,artist,songfile,Size (MB)
465,Groovin,https://i1.sndcdn.com/avatars-aPXogjt1jfUkpBfY-AyyJSA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/groovin.mp3?raw=true,https://soundcloud.com/korewamoemoemoe/groovin,False,Korewamoemoemoe,kakegurui-xx-op-kono-yubi-tomare-junna-full.mp3,4.58
466,Moneko,https://i1.sndcdn.com/artworks-du8Ygn0TJyYH33ji-I2iNag-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/moneko.mp3?raw=true,https://soundcloud.com/geoxor/moneko,False,Geoxor,kamoe.mp3,3.79
467,Fashionweek,https://i1.sndcdn.com/artworks-000228561244-2054vr-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/fashionweek.mp3?raw=true,https://soundcloud.com/itsdifferent/fashionweek,False,Itsdifferent,kancolle-wlil-yume.mp3,2.0
468,Kakegurui Soundtrack Yumeko Jabami Yumemi Yumemite Love Russian Roulette,https://i1.sndcdn.com/artworks-000313335522-mzo2x8-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/kakegurui-soundtrack-yumeko-jabami-yumemi-yumemite-love-russian-roulette.mp3?raw=true,https://soundcloud.com/user-13388108/kakegurui-soundtrack-yumeko-jabami-yumemi-yumemite-love-russian-roulette,False,User 13388108,kaosic-her-look.mp3,4.3
469,Saturday Mixtape,https://i1.sndcdn.com/artworks-000208407612-qh83u6-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/saturday-mixtape.mp3?raw=true,https://soundcloud.com/pet-ri-chor/saturday-mixtape,False,Pet Ri Chor,kaskade-will-k-flip-reset.mp3,2.86
470,Cobalt Attack,https://i1.sndcdn.com/artworks-8JyWP29hnmm0uypg-pi3mJg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/cobalt-attack.mp3?raw=true,https://soundcloud.com/imkotori/cobalt-attack,False,Imkotori,kawaii-chill-mori-calliope-excuse-me-but-could-you-please-rip-project-royal-remix.mp3,3.25
471,Sunset,https://i1.sndcdn.com/artworks-000248679383-frnxjn-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/sunset.mp3?raw=true,https://soundcloud.com/bailleygilchrist/sunset,False,Bailleygilchrist,keep-moving.mp3,4.88
472,Ilm Makai 2,https://i1.sndcdn.com/artworks-000238954793-21wnr0-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/ilm-makai-2.mp3?raw=true,https://soundcloud.com/tofupop/ilm-makai-2,False,Tofupop,kevyaw-the-mighty.mp3,4.41
473,Love Taste Fanservice Mix Moe Shop X Jamie Paige X Shiki Prod By Flacko No Rap Edited,https://i1.sndcdn.com/artworks-000172243329-t22crw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/love-taste-fanservice-mix-moe-shop-x-jamie-paige-x-shiki-prod-by-flacko-no-rap-edited.mp3?raw=true,https://soundcloud.com/beanjamoono/love-taste-fanservice-mix-moe-shop-x-jamie-paige-x-shiki-prod-by-flacko-no-rap-edited,False,Beanjamoono,kiiish0t.mp3,1.53
474,Daybreak,https://i1.sndcdn.com/artworks-000449384967-deot4z-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/daybreak.mp3?raw=true,https://soundcloud.com/kshiraki/daybreak,False,Kshiraki,kirby-your-enthusiasm.mp3,2.81
476,Fm17314 Sugar Radio,https://i1.sndcdn.com/artworks-7TyUM7aj74mYQloe-kyybgQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/fm17314-sugar-radio.mp3?raw=true,https://soundcloud.com/plastic-ank/fm17314-sugar-radio,False,Plastic Ank,kiss-in-the-city.mp3,2.29
477,Soupfinal,https://i1.sndcdn.com/avatars-AWcrbNSiV1R1m1ty-zUhWaA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/soupfinal.mp3?raw=true,https://soundcloud.com/verymell0h/soupfinal,False,Verymell0H,kk-house-remix.mp3,2.0
478,Bits,https://i1.sndcdn.com/artworks-000202386227-ecoeka-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/bits.mp3?raw=true,https://soundcloud.com/dcuttermusic/bits,False,Dcuttermusic,kl2iahkmoobc.mp3,3.7
479,Hideousremix,https://i1.sndcdn.com/artworks-000070126907-kghald-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/hideousremix.mp3?raw=true,https://soundcloud.com/haywyre/hideousremix,False,Haywyre,kmnz-augmentation.mp3,3.69
480,Kagamine Rin Moonlight Stage After 10 Years Self Covering,https://i1.sndcdn.com/artworks-000648167170-vzg48k-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/kagamine-rin-moonlight-stage-after-10-years-self-covering.mp3?raw=true,https://soundcloud.com/nohki_o/kagamine-rin-moonlight-stage-after-10-years-self-covering,False,Nohki_O,knapsack-dazed.mp3,2.98
481,Ano Hana Ending Secret Base,https://i1.sndcdn.com/artworks-000060586988-g95cz7-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/ano-hana-ending-secret-base.mp3?raw=true,https://soundcloud.com/josulok-1/ano-hana-ending-secret-base,False,Josulok 1,knight.mp3,1.88
482,Toho Bossa Nova 10 Xfd,https://i1.sndcdn.com/artworks-QjFcD8Bdmk5y695k-Hp99dA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/toho-bossa-nova-10-xfd.mp3?raw=true,https://soundcloud.com/shibayan/toho-bossa-nova-10-xfd,False,Shibayan,koven-light-up.mp3,3.62
483,Knapsack Dazed,https://i1.sndcdn.com/artworks-000228074827-hl0329-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/knapsack-dazed.mp3?raw=true,https://soundcloud.com/fanservicecollective/knapsack-dazed,False,Fanservicecollective,koven-stars-oliverse-remix.mp3,3.54
484,Bloodcode X Cosmicosmo Paradise Plaza Featuring Tofuku Tenkitsune Remix,https://i1.sndcdn.com/artworks-000218171844-m5ydn4-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/bloodcode-x-cosmicosmo-paradise-plaza-featuring-tofuku-tenkitsune-remix.mp3?raw=true,https://soundcloud.com/tenkitsunemusic/bloodcode-x-cosmicosmo-paradise-plaza-featuring-tofuku-tenkitsune-remix,False,Tenkitsunemusic,koven-yes-fox-stevenson-remix.mp3,3.39
485,Future Funk City,https://i1.sndcdn.com/artworks-6rsohoKd1wlldY9x-iLtKuw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/future-funk-city.mp3?raw=true,https://soundcloud.com/sh1ruett0/future-funk-city,False,Sh1Ruett0,koven-your-pain-the-prototypes.mp3,4.19
486,Close Your Eyes,https://i1.sndcdn.com/artworks-zIyGUynMYuBJ9dDe-sGFi9g-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/close-your-eyes.mp3?raw=true,https://soundcloud.com/saury315/close-your-eyes,False,Saury315,kubota.mp3,3.63
487,Genshin Impact Qingce Apieceofonion Remix,https://i1.sndcdn.com/artworks-tFKHkS1LXrgzjjGL-wNxuSA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/genshin-impact-qingce-apieceofonion-remix.mp3?raw=true,https://soundcloud.com/apieceofonion/genshin-impact-qingce-apieceofonion-remix,False,Apieceofonion,kuby-dazers-unkhala-esky-flip.mp3,7.32
489,Mr Robot In The Darkdjash,https://i1.sndcdn.com/artworks-000196894142-p7x4x9-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/mr-robot-in-the-darkdjash.mp3?raw=true,https://soundcloud.com/adgvlogs/mr-robot-in-the-darkdjash,False,Adgvlogs,kuiters-bubbles.mp3,3.0
490,Flurry,https://i1.sndcdn.com/artworks-000466055598-4m7n11-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/flurry.mp3?raw=true,https://soundcloud.com/kshiraki/flurry,False,Kshiraki,kuuro-dont-stop.mp3,2.54
491,Cherry Blossom Girl,https://i1.sndcdn.com/artworks-000144360189-4s8qqu-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/cherry-blossom-girl.mp3?raw=true,https://soundcloud.com/nanidato/cherry-blossom-girl,False,Nanidato,lady-in-the-sky.mp3,2.94
492,Senseiplease Use Me Your Fuck Toy,https://i1.sndcdn.com/artworks-000283036958-flcc6x-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/senseiplease-use-me-your-fuck-toy.mp3?raw=true,https://soundcloud.com/nemuiiiiiii-404/senseiplease-use-me-your-fuck-toy,False,Nemuiiiiiii 404,lady-killa.mp3,2.05
493,Rndysvge Getbackbby Verzache Rework,https://i1.sndcdn.com/artworks-000172071167-y37443-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/rndysvge-getbackbby-verzache-rework.mp3?raw=true,https://soundcloud.com/verzache/rndysvge-getbackbby-verzache-rework,False,Verzache,laszlo-interstellar.mp3,3.26
494,Forbidden Fruit Pt 2 W Gali,https://i1.sndcdn.com/artworks-000249685864-v5qpub-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/forbidden-fruit-pt-2-w-gali.mp3?raw=true,https://soundcloud.com/inteus666/forbidden-fruit-pt-2-w-gali,False,Inteus666,late-night.mp3,1.23
495,Chillin With Some Koi Fish,https://i1.sndcdn.com/artworks-kI6I1HtUVtMnEMxf-q6J35w-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/chillin-with-some-koi-fish.mp3?raw=true,https://soundcloud.com/groovy-godzilla/chillin-with-some-koi-fish,False,Groovy Godzilla,latte.mp3,2.04
497,Broke N,https://i1.sndcdn.com/artworks-000348447306-k7lgsi-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/broke-n.mp3?raw=true,https://soundcloud.com/bearfoott/broke-n,False,Bearfoott,leaves-fall.mp3,4.96
498,Dorinku,https://i1.sndcdn.com/artworks-000135514824-qmsdeb-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/dorinku.mp3?raw=true,https://soundcloud.com/w-fu/dorinku,False,W Fu,legend-of-zelda-breath-of-the-wild-revalis-theme-piano-cover-free-dl.mp3,1.38
499,Chug Jug With You Loli Cover,https://i1.sndcdn.com/artworks-Q3SY4nAOE0lllXEn-zAmK3g-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/chug-jug-with-you-loli-cover.mp3?raw=true,https://soundcloud.com/user-485062349/chug-jug-with-you-loli-cover,False,User 485062349,lemonade-unreleased.mp3,3.0
500,Chocolate Box,https://i1.sndcdn.com/artworks-000152982258-398zn0-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/chocolate-box.mp3?raw=true,https://soundcloud.com/dcuttermusic/chocolate-box,False,Dcuttermusic,les-parfums-de-lamour.mp3,3.46
501,Haarper Drop It Like Its Hot,https://i1.sndcdn.com/artworks-dtW9v4rOfaLXlzN8-7Pa45w-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/haarper-drop-it-like-its-hot.mp3?raw=true,https://soundcloud.com/pbhbdxhv53qu/haarper-drop-it-like-its-hot,False,Pbhbdxhv53Qu,let-em-have-it-w-grouf.mp3,4.45
